"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 14 12:30:54 GMT 2022","Mon Nov 14 12:31:33 GMT 2022","39542","","Casos de prueba sobre un artículo de Diario AS","","CP02. Carga de contenedor de tipo STICKY en el artículo","","CP02. Carga de contenedor de tipo STICKY en el artículo",""
"failed","Mon Nov 14 12:31:33 GMT 2022","Mon Nov 14 12:32:20 GMT 2022","46559","","Casos de prueba sobre un artículo de Diario AS","","CP03. Carga de contenedores de tipo LDB en el artículo","","CP03. Carga de contenedores de tipo LDB en el artículo",""
"failed","Mon Nov 14 12:29:50 GMT 2022","Mon Nov 14 12:30:14 GMT 2022","23778","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Mon Nov 14 12:33:06 GMT 2022","Mon Nov 14 12:33:59 GMT 2022","52213","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"failed","Mon Nov 14 12:29:01 GMT 2022","Mon Nov 14 12:29:26 GMT 2022","25166","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Mon Nov 14 12:32:20 GMT 2022","Mon Nov 14 12:33:06 GMT 2022","46642","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"passed","Mon Nov 14 12:33:59 GMT 2022","Mon Nov 14 12:34:42 GMT 2022","43692","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"passed","Mon Nov 14 12:30:14 GMT 2022","Mon Nov 14 12:30:53 GMT 2022","39124","","Casos de prueba sobre un artículo de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo",""
"passed","Mon Nov 14 12:35:23 GMT 2022","Mon Nov 14 12:35:58 GMT 2022","34645","","Casos de prueba sobre un artículo de Diario AS","","CP06. Carga de contenedor de tipo INTEXT en el artículo","","CP06. Carga de contenedor de tipo INTEXT en el artículo",""
"failed","Mon Nov 14 12:34:42 GMT 2022","Mon Nov 14 12:35:23 GMT 2022","40866","","Casos de prueba sobre un artículo de Diario AS","","CP05. Carga de contenedor de tipo BTN en el artículo","","CP05. Carga de contenedor de tipo BTN en el artículo",""
"failed","Mon Nov 14 12:26:16 GMT 2022","Mon Nov 14 12:28:00 GMT 2022","103775","","Casos de prueba sobre la página principal de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"failed","Mon Nov 14 12:28:34 GMT 2022","Mon Nov 14 12:29:01 GMT 2022","27676","","Casos de prueba sobre la página principal de Diario AS","","CP03. Carga de contenedores de tipo LDB en la portada","","CP03. Carga de contenedores de tipo LDB en la portada",""
"failed","Mon Nov 14 12:28:00 GMT 2022","Mon Nov 14 12:28:33 GMT 2022","33458","","Casos de prueba sobre la página principal de Diario AS","","CP02. Carga de contenedor de tipo STICKY en la portada","","CP02. Carga de contenedor de tipo STICKY en la portada",""
"passed","Mon Nov 14 12:29:26 GMT 2022","Mon Nov 14 12:29:50 GMT 2022","24023","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
