"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 14 14:59:01 GMT 2022","Mon Nov 14 14:59:01 GMT 2022","52","","Casos de prueba sobre un artículo de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo",""
"skipped","Mon Nov 14 14:59:01 GMT 2022","Mon Nov 14 14:59:01 GMT 2022","35","","Casos de prueba sobre un artículo de Diario AS","","CP03. Carga de contenedores de tipo LDB en el artículo","","CP03. Carga de contenedores de tipo LDB en el artículo",""
"skipped","Mon Nov 14 14:59:00 GMT 2022","Mon Nov 14 14:59:00 GMT 2022","358","","Casos de prueba sobre la página principal de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"skipped","Mon Nov 14 14:59:01 GMT 2022","Mon Nov 14 14:59:01 GMT 2022","33","","Casos de prueba sobre la página principal de Diario AS","","CP02. Carga de contenedor de tipo STICKY en la portada","","CP02. Carga de contenedor de tipo STICKY en la portada",""
"skipped","Mon Nov 14 14:59:02 GMT 2022","Mon Nov 14 14:59:02 GMT 2022","21","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"skipped","Mon Nov 14 14:59:01 GMT 2022","Mon Nov 14 14:59:01 GMT 2022","68","","Casos de prueba sobre un artículo de Diario AS","","CP02. Carga de contenedor de tipo STICKY en el artículo","","CP02. Carga de contenedor de tipo STICKY en el artículo",""
"skipped","Mon Nov 14 14:59:01 GMT 2022","Mon Nov 14 14:59:01 GMT 2022","64","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"skipped","Mon Nov 14 14:59:02 GMT 2022","Mon Nov 14 14:59:02 GMT 2022","50","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"skipped","Mon Nov 14 14:59:01 GMT 2022","Mon Nov 14 14:59:01 GMT 2022","20","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"skipped","Mon Nov 14 14:59:01 GMT 2022","Mon Nov 14 14:59:01 GMT 2022","56","","Casos de prueba sobre la página principal de Diario AS","","CP03. Carga de contenedores de tipo LDB en la portada","","CP03. Carga de contenedores de tipo LDB en la portada",""
"skipped","Mon Nov 14 14:59:02 GMT 2022","Mon Nov 14 14:59:02 GMT 2022","29","","Casos de prueba sobre un artículo de Diario AS","","CP05. Carga de contenedor de tipo BTN en el artículo","","CP05. Carga de contenedor de tipo BTN en el artículo",""
"skipped","Mon Nov 14 14:59:02 GMT 2022","Mon Nov 14 14:59:02 GMT 2022","30","","Casos de prueba sobre un artículo de Diario AS","","CP06. Carga de contenedor de tipo INTEXT en el artículo","","CP06. Carga de contenedor de tipo INTEXT en el artículo",""
"skipped","Mon Nov 14 14:59:01 GMT 2022","Mon Nov 14 14:59:01 GMT 2022","72","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"skipped","Mon Nov 14 14:59:01 GMT 2022","Mon Nov 14 14:59:01 GMT 2022","76","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
