"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 15 09:17:19 GMT 2022","Tue Nov 15 09:17:54 GMT 2022","35543","","Casos de prueba sobre un artículo de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo",""
"passed","Tue Nov 15 09:19:17 GMT 2022","Tue Nov 15 09:19:45 GMT 2022","27189","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"passed","Tue Nov 15 09:17:54 GMT 2022","Tue Nov 15 09:18:13 GMT 2022","18256","","Casos de prueba sobre un artículo de Diario AS","","CP02. Carga de contenedor de tipo STICKY en el artículo","","CP02. Carga de contenedor de tipo STICKY en el artículo",""
"passed","Tue Nov 15 09:16:55 GMT 2022","Tue Nov 15 09:17:19 GMT 2022","23533","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"failed","Tue Nov 15 09:19:45 GMT 2022","Tue Nov 15 09:20:01 GMT 2022","16614","","Casos de prueba sobre un artículo de Diario AS","","CP05. Carga de contenedor de tipo BTN en el artículo","","CP05. Carga de contenedor de tipo BTN en el artículo",""
"passed","Tue Nov 15 09:20:01 GMT 2022","Tue Nov 15 09:20:17 GMT 2022","15762","","Casos de prueba sobre un artículo de Diario AS","","CP06. Carga de contenedor de tipo INTEXT en el artículo","","CP06. Carga de contenedor de tipo INTEXT en el artículo",""
"passed","Tue Nov 15 09:15:38 GMT 2022","Tue Nov 15 09:16:05 GMT 2022","26565","","Casos de prueba sobre la página principal de Diario AS","","CP03. Carga de contenedores de tipo LDB en la portada","","CP03. Carga de contenedores de tipo LDB en la portada",""
"passed","Tue Nov 15 09:15:04 GMT 2022","Tue Nov 15 09:15:38 GMT 2022","34307","","Casos de prueba sobre la página principal de Diario AS","","CP02. Carga de contenedor de tipo STICKY en la portada","","CP02. Carga de contenedor de tipo STICKY en la portada",""
"passed","Tue Nov 15 09:18:51 GMT 2022","Tue Nov 15 09:19:17 GMT 2022","26872","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"passed","Tue Nov 15 09:18:32 GMT 2022","Tue Nov 15 09:18:51 GMT 2022","18294","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"failed","Tue Nov 15 09:18:13 GMT 2022","Tue Nov 15 09:18:32 GMT 2022","19706","","Casos de prueba sobre un artículo de Diario AS","","CP03. Carga de contenedores de tipo LDB en el artículo","","CP03. Carga de contenedores de tipo LDB en el artículo",""
"passed","Tue Nov 15 09:16:34 GMT 2022","Tue Nov 15 09:16:55 GMT 2022","21219","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Tue Nov 15 09:16:05 GMT 2022","Tue Nov 15 09:16:34 GMT 2022","29042","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"failed","Tue Nov 15 09:14:30 GMT 2022","Tue Nov 15 09:15:04 GMT 2022","33609","","Casos de prueba sobre la página principal de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada",""
