"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 09:40:51 GMT 2022","Mon Nov 14 09:41:28 GMT 2022","36505","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo MPU en la portada","","Carga de contenedores de tipo MPU en la portada",""
"passed","Mon Nov 14 09:42:31 GMT 2022","Mon Nov 14 09:43:18 GMT 2022","47508","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo LDB en el artículo","","Carga de contenedores de tipo LDB en el artículo",""
"passed","Mon Nov 14 09:39:22 GMT 2022","Mon Nov 14 09:39:50 GMT 2022","27792","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo LDB en la portada","","Carga de contenedores de tipo LDB en la portada",""
"failed","Mon Nov 14 09:38:48 GMT 2022","Mon Nov 14 09:39:22 GMT 2022","33289","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedor de tipo STICKY en la portada","","Carga de contenedor de tipo STICKY en la portada",""
"passed","Mon Nov 14 09:44:53 GMT 2022","Mon Nov 14 09:45:48 GMT 2022","54667","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo MPU en el artículo","","Carga de contenedores de tipo MPU en el artículo",""
"failed","Mon Nov 14 09:41:28 GMT 2022","Mon Nov 14 09:42:01 GMT 2022","32752","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores SKY en caso de no tener SKIN en el artículo","","Carga de contenedores SKY en caso de no tener SKIN en el artículo",""
"passed","Mon Nov 14 09:39:50 GMT 2022","Mon Nov 14 09:40:23 GMT 2022","33515","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo MPU en la portada","","Carga de contenedores de tipo MPU en la portada",""
"failed","Mon Nov 14 09:45:48 GMT 2022","Mon Nov 14 09:46:25 GMT 2022","37409","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedor de tipo BTN en el artículo","","Carga de contenedor de tipo BTN en el artículo",""
"passed","Mon Nov 14 09:40:23 GMT 2022","Mon Nov 14 09:40:51 GMT 2022","28024","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo MPU en la portada","","Carga de contenedores de tipo MPU en la portada",""
"failed","Mon Nov 14 09:42:01 GMT 2022","Mon Nov 14 09:42:30 GMT 2022","29739","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedor de tipo STICKY en el artículo","","Carga de contenedor de tipo STICKY en el artículo",""
"passed","Mon Nov 14 09:43:18 GMT 2022","Mon Nov 14 09:44:01 GMT 2022","43200","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo MPU en el artículo","","Carga de contenedores de tipo MPU en el artículo",""
"passed","Mon Nov 14 09:46:26 GMT 2022","Mon Nov 14 09:46:54 GMT 2022","28194","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedor de tipo INTEXT en el artículo","","Carga de contenedor de tipo INTEXT en el artículo",""
"failed","Mon Nov 14 09:38:01 GMT 2022","Mon Nov 14 09:38:48 GMT 2022","47097","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores SKY en caso de no tener SKIN en la portada","","Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"passed","Mon Nov 14 09:44:01 GMT 2022","Mon Nov 14 09:44:53 GMT 2022","51969","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo MPU en el artículo","","Carga de contenedores de tipo MPU en el artículo",""
