"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 14 10:10:20 GMT 2022","Mon Nov 14 10:10:52 GMT 2022","32685","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo LDB en el artículo","","Carga de contenedores de tipo LDB en el artículo",""
"failed","Mon Nov 14 10:05:50 GMT 2022","Mon Nov 14 10:06:36 GMT 2022","46402","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores SKY en caso de no tener SKIN en la portada","","Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"failed","Mon Nov 14 10:07:01 GMT 2022","Mon Nov 14 10:07:37 GMT 2022","35387","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo LDB en la portada","","Carga de contenedores de tipo LDB en la portada",""
"passed","Mon Nov 14 10:07:37 GMT 2022","Mon Nov 14 10:08:03 GMT 2022","26309","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo MPU en la portada","","Carga de contenedores de tipo MPU en la portada",""
"passed","Mon Nov 14 10:09:17 GMT 2022","Mon Nov 14 10:09:50 GMT 2022","32680","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores SKY en caso de no tener SKIN en el artículo","","Carga de contenedores SKY en caso de no tener SKIN en el artículo",""
"failed","Mon Nov 14 10:09:50 GMT 2022","Mon Nov 14 10:10:20 GMT 2022","29918","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedor de tipo STICKY en el artículo","","Carga de contenedor de tipo STICKY en el artículo",""
"passed","Mon Nov 14 10:11:56 GMT 2022","Mon Nov 14 10:12:33 GMT 2022","36932","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo MPU en el artículo","","Carga de contenedores de tipo MPU en el artículo",""
"passed","Mon Nov 14 10:10:52 GMT 2022","Mon Nov 14 10:11:27 GMT 2022","34918","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo MPU en el artículo","","Carga de contenedores de tipo MPU en el artículo",""
"failed","Mon Nov 14 10:12:33 GMT 2022","Mon Nov 14 10:13:00 GMT 2022","26981","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedor de tipo BTN en el artículo","","Carga de contenedor de tipo BTN en el artículo",""
"passed","Mon Nov 14 10:11:27 GMT 2022","Mon Nov 14 10:11:56 GMT 2022","29168","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo MPU en el artículo","","Carga de contenedores de tipo MPU en el artículo",""
"failed","Mon Nov 14 10:08:03 GMT 2022","Mon Nov 14 10:08:36 GMT 2022","32744","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo MPU en la portada","","Carga de contenedores de tipo MPU en la portada",""
"failed","Mon Nov 14 10:06:37 GMT 2022","Mon Nov 14 10:07:01 GMT 2022","24407","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedor de tipo STICKY en la portada","","Carga de contenedor de tipo STICKY en la portada",""
"failed","Mon Nov 14 10:13:01 GMT 2022","Mon Nov 14 10:13:22 GMT 2022","21401","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedor de tipo INTEXT en el artículo","","Carga de contenedor de tipo INTEXT en el artículo",""
"passed","Mon Nov 14 10:08:36 GMT 2022","Mon Nov 14 10:09:17 GMT 2022","41323","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo MPU en la portada","","Carga de contenedores de tipo MPU en la portada",""
