"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 09:29:51 GMT 2022","Mon Nov 14 09:30:27 GMT 2022","35978","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo MPU en el artículo","","Carga de contenedores de tipo MPU en el artículo",""
"passed","Mon Nov 14 09:30:27 GMT 2022","Mon Nov 14 09:31:04 GMT 2022","37044","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo MPU en el artículo","","Carga de contenedores de tipo MPU en el artículo",""
"passed","Mon Nov 14 09:26:00 GMT 2022","Mon Nov 14 09:26:30 GMT 2022","29827","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo MPU en la portada","","Carga de contenedores de tipo MPU en la portada",""
"passed","Mon Nov 14 09:28:31 GMT 2022","Mon Nov 14 09:29:19 GMT 2022","47919","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedor de tipo STICKY en el artículo","","Carga de contenedor de tipo STICKY en el artículo",""
"passed","Mon Nov 14 09:26:30 GMT 2022","Mon Nov 14 09:27:04 GMT 2022","33806","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo MPU en la portada","","Carga de contenedores de tipo MPU en la portada",""
"failed","Mon Nov 14 09:24:43 GMT 2022","Mon Nov 14 09:25:20 GMT 2022","37173","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedor de tipo STICKY en la portada","","Carga de contenedor de tipo STICKY en la portada",""
"passed","Mon Nov 14 09:27:04 GMT 2022","Mon Nov 14 09:27:39 GMT 2022","35248","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo MPU en la portada","","Carga de contenedores de tipo MPU en la portada",""
"failed","Mon Nov 14 09:31:41 GMT 2022","Mon Nov 14 09:32:10 GMT 2022","29012","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedor de tipo BTN en el artículo","","Carga de contenedor de tipo BTN en el artículo",""
"passed","Mon Nov 14 09:32:10 GMT 2022","Mon Nov 14 09:32:41 GMT 2022","31459","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedor de tipo INTEXT en el artículo","","Carga de contenedor de tipo INTEXT en el artículo",""
"passed","Mon Nov 14 09:31:04 GMT 2022","Mon Nov 14 09:31:41 GMT 2022","36604","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo MPU en el artículo","","Carga de contenedores de tipo MPU en el artículo",""
"failed","Mon Nov 14 09:24:00 GMT 2022","Mon Nov 14 09:24:43 GMT 2022","43111","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores SKY en caso de no tener SKIN en la portada","","Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"passed","Mon Nov 14 09:27:39 GMT 2022","Mon Nov 14 09:28:31 GMT 2022","51745","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores SKY en caso de no tener SKIN en el artículo","","Carga de contenedores SKY en caso de no tener SKIN en el artículo",""
"passed","Mon Nov 14 09:29:19 GMT 2022","Mon Nov 14 09:29:51 GMT 2022","32287","","Casos de prueba sobre un artículo de Diario AS","","Carga de contenedores de tipo LDB en el artículo","","Carga de contenedores de tipo LDB en el artículo",""
"passed","Mon Nov 14 09:25:20 GMT 2022","Mon Nov 14 09:25:59 GMT 2022","38884","","Casos de prueba sobre la página principal de Diario AS","","Carga de contenedores de tipo LDB en la portada","","Carga de contenedores de tipo LDB en la portada",""
